1000000, 0.0707569, 0.0670753, 0.0730534, 0.0771472, 0.076964, 0.0704714, 0.0710786, 0.0735604, 0.0768851, 0.0725067
1500000, 0.0993733, 0.107887, 0.107622, 0.122893, 0.165096, 0.149635, 0.103554, 0.101381, 0.135187, 0.125055
2000000, 0.137211, 0.171338, 0.153474, 0.159623, 0.162825, 0.181588, 0.177512, 0.135056, 0.141854, 0.140074
2500000, 0.17479, 0.282728, 0.176715, 0.18044, 0.174624, 0.174885, 0.177102, 0.182958, 0.313703, 0.175809
3000000, 0.222812, 0.232168, 0.24837, 0.29286, 0.300426, 0.268555, 0.295346, 0.241451, 0.215864, 0.296439
3500000, 0.243195, 0.35958, 0.250577, 0.343307, 0.243418, 0.278439, 0.248912, 0.302295, 0.27773, 0.255163
4000000, 0.28359, 0.275039, 0.294058, 0.322867, 0.320075, 0.286767, 0.305235, 0.383458, 0.321918, 0.371381
4500000, 0.328603, 0.429235, 0.397987, 0.334293, 0.357669, 0.310804, 0.382426, 0.369733, 0.418485, 0.403386
5000000, 0.341904, 0.360065, 0.39058, 0.48317, 0.343553, 0.372267, 0.3398, 0.346995, 0.370457, 0.323449
5500000, 0.526863, 0.584736, 0.552876, 0.508177, 0.492528, 0.525262, 0.543939, 0.612073, 0.569344, 0.69451
